City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Patricio,US,2021-04-11 20:47:13,28.017,-97.5169,87.8,48,1,12.66
1,Yellowknife,CA,2021-04-11 20:47:14,62.456,-114.3525,9.0,66,90,8.05
2,Chapais,CA,2021-04-11 20:47:14,49.7834,-74.8492,59.0,29,75,12.66
3,Elko,US,2021-04-11 20:45:11,41.0002,-115.5012,55.0,22,1,12.66
4,Bengkulu,ID,2021-04-11 20:47:15,-3.8004,102.2655,75.34,90,100,4.63
5,Port Alfred,ZA,2021-04-11 20:47:15,-33.5906,26.891,66.58,91,96,3.71
6,Palmer,US,2021-04-11 20:47:15,42.1584,-72.3287,51.8,71,90,14.97
7,Ushuaia,AR,2021-04-11 20:45:28,-54.8,-68.3,50.0,53,75,19.57
8,Hilo,US,2021-04-11 20:43:10,19.7297,-155.09,80.6,44,40,6.91
9,High Level,CA,2021-04-11 20:44:47,58.5169,-117.136,23.0,63,40,8.05
10,Port Elizabeth,ZA,2021-04-11 20:43:24,-33.918,25.5701,59.0,87,77,3.06
11,Maarianhamina,AX,2021-04-11 20:47:16,60.0973,19.9348,37.4,81,90,10.36
12,Lompoc,US,2021-04-11 20:47:17,34.6391,-120.4579,66.0,63,86,21.85
13,Saumur,FR,2021-04-11 20:47:17,47.3333,-0.25,42.01,93,0,2.3
14,Tasiilaq,GL,2021-04-11 20:47:17,65.6145,-37.6368,30.2,69,0,5.37
15,Torbay,CA,2021-04-11 20:47:18,47.6666,-52.7314,34.0,100,90,9.22
16,Vaini,TO,2021-04-11 20:47:18,-21.2,-175.2,77.0,78,20,5.75
17,Skelleftea,SE,2021-04-11 20:47:18,64.7507,20.9528,33.8,55,2,3.44
18,Vao,NC,2021-04-11 20:45:56,-22.6667,167.4833,75.83,78,31,6.51
19,Ribeira Grande,PT,2021-04-11 20:47:19,38.5167,-28.7,62.6,94,75,10.36
20,Nishihara,JP,2021-04-11 20:47:19,26.1842,127.7558,69.8,68,20,9.22
21,Chuy,UY,2021-04-11 20:47:19,-33.6971,-53.4616,64.11,79,93,20.15
22,Cidreira,BR,2021-04-11 20:47:20,-30.1811,-50.2056,81.03,62,80,4.88
23,Khatanga,RU,2021-04-11 20:47:20,71.9667,102.5,17.02,84,99,12.21
24,Belaya Gora,RU,2021-04-11 20:47:20,68.5333,146.4167,-16.04,99,97,4.14
25,Carnarvon,AU,2021-04-11 20:47:21,-24.8667,113.6333,78.8,89,90,16.11
26,Mar Del Plata,AR,2021-04-11 20:47:21,-38.0023,-57.5575,66.99,59,20,11.5
27,Nanzhou,CN,2021-04-11 20:47:21,29.3596,112.4024,54.43,97,100,4.5
28,Puerto Ayora,EC,2021-04-11 20:47:22,-0.7393,-90.3518,82.4,74,40,9.22
29,Albany,US,2021-04-11 20:47:22,42.6001,-73.9662,64.99,76,100,4.0
30,Maniwaki,CA,2021-04-11 20:47:22,46.3834,-75.966,71.6,35,100,11.5
31,Chernyshevskiy,RU,2021-04-11 20:47:23,63.0128,112.4714,-14.4,100,24,1.88
32,Hermanus,ZA,2021-04-11 20:47:23,-34.4187,19.2345,64.99,85,100,3.0
33,Abu Dhabi,AE,2021-04-11 20:44:06,24.4667,54.3667,87.8,27,0,4.61
34,Qaanaaq,GL,2021-04-11 20:47:24,77.484,-69.3632,22.95,94,100,11.9
35,Souillac,MU,2021-04-11 20:45:43,-20.5167,57.5167,78.8,89,40,6.91
36,Mangrol,IN,2021-04-11 20:47:24,21.1167,70.1167,78.51,71,0,12.06
37,Faanui,PF,2021-04-11 20:47:24,-16.4833,-151.75,82.47,70,100,11.25
38,Saint-Philippe,RE,2021-04-11 20:47:25,-21.3585,55.7679,77.0,78,0,6.91
39,Longyearbyen,SJ,2021-04-11 20:47:25,78.2186,15.6401,19.4,58,75,16.11
40,Hami,CN,2021-04-11 20:47:26,42.8,93.45,53.44,33,100,11.12
41,Butaritari,KI,2021-04-11 20:47:26,3.0707,172.7902,80.94,78,31,9.71
42,Nikolskoye,RU,2021-04-11 20:47:26,59.7035,30.7861,43.0,45,0,4.47
43,Bluff,NZ,2021-04-11 20:47:27,-46.6,168.3333,48.99,98,22,10.83
44,Hithadhoo,MV,2021-04-11 20:47:27,-0.6,73.0833,82.67,75,94,11.01
45,Castro,BR,2021-04-11 20:47:27,-24.7911,-50.0119,68.38,67,13,3.87
46,Saskylakh,RU,2021-04-11 20:47:28,71.9167,114.0833,10.58,96,91,7.23
47,Pangai,TO,2021-04-11 20:47:28,-19.8,-174.35,78.8,78,75,2.3
48,Dikson,RU,2021-04-11 20:47:28,73.5069,80.5464,30.79,87,100,26.08
49,Morondava,MG,2021-04-11 20:47:29,-20.2833,44.2833,78.17,67,87,7.25
50,Saint George,US,2021-04-11 20:47:29,37.1041,-113.5841,82.99,10,1,8.05
51,Anloga,GH,2021-04-11 20:47:29,5.7947,0.8973,84.2,84,40,11.5
52,Cape Town,ZA,2021-04-11 20:47:30,-33.9258,18.4232,66.0,94,0,12.66
53,Aklavik,CA,2021-04-11 20:47:30,68.2191,-135.0107,5.0,39,13,6.91
54,Touros,BR,2021-04-11 20:47:30,-5.1989,-35.4608,82.4,78,40,10.36
55,Cabo San Lucas,MX,2021-04-11 20:47:31,22.8909,-109.9124,84.0,41,75,11.5
56,Hobart,AU,2021-04-11 20:47:31,-42.8794,147.3294,48.99,81,75,11.5
57,Barrow,US,2021-04-11 20:43:23,71.2906,-156.7887,-14.8,91,1,3.44
58,Busselton,AU,2021-04-11 20:47:32,-33.65,115.3333,61.0,98,100,10.74
59,Yenagoa,NG,2021-04-11 20:47:32,4.9247,6.2642,78.4,84,76,4.65
60,Vila Franca Do Campo,PT,2021-04-11 20:47:32,37.7167,-25.4333,62.6,94,75,9.22
61,Talas,TR,2021-04-11 20:47:33,38.6908,35.5538,32.0,93,90,1.95
62,Lucan,IE,2021-04-11 20:47:33,53.3592,-6.4389,39.99,87,75,12.66
63,New Norfolk,AU,2021-04-11 20:47:33,-42.7826,147.0587,48.99,78,100,2.37
64,Port Hardy,CA,2021-04-11 20:47:34,50.6996,-127.4199,44.6,49,20,12.66
65,Japura,ID,2021-04-11 20:47:34,-0.3167,102.35,72.61,98,77,1.74
66,Ponta Do Sol,PT,2021-04-11 20:47:34,32.6667,-17.1,62.01,78,100,1.99
67,Leh,IN,2021-04-11 20:47:21,34.1667,77.5833,30.54,87,100,2.82
68,Rikitea,PF,2021-04-11 20:47:35,-23.1203,-134.9692,78.35,74,8,8.57
69,Punta Arenas,CL,2021-04-11 20:47:35,-53.15,-70.9167,59.0,36,0,17.27
70,Victoria,HK,2021-04-11 20:47:35,22.2855,114.1577,73.0,86,93,1.99
71,Lavrentiya,RU,2021-04-11 20:47:36,65.5833,-171.0,4.89,75,100,31.14
72,Cairns,AU,2021-04-11 20:46:23,-16.9167,145.7667,71.6,94,4,2.3
73,Tuktoyaktuk,CA,2021-04-11 20:47:36,69.4541,-133.0374,-9.4,70,1,10.36
74,Broome,US,2021-04-11 20:43:30,42.2506,-75.833,61.0,100,90,18.41
75,Nioro,GM,2021-04-11 20:47:37,13.35,-15.75,81.99,39,3,10.76
76,New Amsterdam,GY,2021-04-11 20:47:37,6.25,-57.5167,78.44,83,100,2.51
77,Bambous Virieux,MU,2021-04-11 20:47:37,-20.3428,57.7575,79.0,89,40,6.91
78,Kontagora,NG,2021-04-11 20:44:13,10.3999,5.4695,89.92,27,25,3.58
79,Bredasdorp,ZA,2021-04-11 20:47:38,-34.5322,20.0403,57.2,94,100,2.3
80,Mataura,NZ,2021-04-11 20:47:38,-46.1927,168.8643,48.99,98,82,3.76
81,Lakatoro,VU,2021-04-11 20:47:39,-16.0999,167.4164,79.84,77,95,2.8
82,Tongren,CN,2021-04-11 20:47:39,27.7172,109.1853,57.63,98,100,0.92
83,Pierre,US,2021-04-11 20:47:39,44.3683,-100.351,60.01,61,90,20.71
84,Matamoros,MX,2021-04-11 20:47:40,25.5333,-103.25,89.6,12,75,5.64
85,Inhambane,MZ,2021-04-11 20:47:40,-23.865,35.3833,72.88,82,0,7.31
86,Bardiyah,LY,2021-04-11 20:47:40,31.7561,25.0865,56.68,58,5,7.29
87,Coquimbo,CL,2021-04-11 20:47:41,-29.9533,-71.3436,60.8,77,20,14.97
88,Baherden,TM,2021-04-11 20:47:41,38.4362,57.4316,67.84,22,62,11.48
89,Raga,SS,2021-04-11 20:47:41,8.4596,25.678,85.15,28,100,1.77
90,Caala,AO,2021-04-11 20:47:42,-12.8525,15.5606,60.96,80,96,4.0
91,Boende,CD,2021-04-11 20:47:42,-0.2167,20.8667,66.88,97,100,2.37
92,Jacareacanga,BR,2021-04-11 20:47:42,-6.2222,-57.7528,80.44,86,73,1.86
93,Kavieng,PG,2021-04-11 20:47:43,-2.5744,150.7967,77.52,86,100,2.62
94,San Vicente,AR,2021-04-11 20:45:01,-26.6167,-54.1333,70.47,92,83,1.59
95,Lebu,CL,2021-04-11 20:47:43,-37.6167,-73.65,59.63,78,0,13.47
96,Nanortalik,GL,2021-04-11 20:47:44,60.1432,-45.2371,37.42,59,0,6.06
97,Qaqortoq,GL,2021-04-11 20:47:44,60.7167,-46.0333,51.8,25,0,13.8
98,Mocuba,MZ,2021-04-11 20:47:45,-16.8392,36.9856,70.5,97,100,0.29
99,Leningradskiy,RU,2021-04-11 20:46:02,69.3833,178.4167,-8.25,87,10,5.23
100,East London,ZA,2021-04-11 20:47:45,-33.0153,27.9116,71.35,84,100,3.02
101,Cherskiy,RU,2021-04-11 20:45:29,68.75,161.3,-18.18,99,100,3.85
102,Atuona,PF,2021-04-11 20:45:54,-9.8,-139.0333,80.71,76,19,17.43
103,Evans,US,2021-04-11 20:47:46,33.5337,-82.1307,79.0,41,20,9.22
104,Bokhan,RU,2021-04-11 20:47:46,53.153,103.7714,26.49,64,64,3.0
105,Moche,PE,2021-04-11 20:47:46,-8.1711,-79.0092,69.8,83,20,10.36
106,Samarai,PG,2021-04-11 20:47:47,-10.6167,150.6667,79.81,64,25,8.72
107,Victor Harbor,AU,2021-04-11 20:47:47,-35.5667,138.6167,53.01,75,100,6.55
108,Sumbe,AO,2021-04-11 20:47:47,-11.2061,13.8437,81.61,82,100,5.12
109,Ust-Ilimsk,RU,2021-04-11 20:47:48,58.0006,102.6619,26.98,96,100,6.85
110,Ahuimanu,US,2021-04-11 20:47:48,21.4447,-157.8378,75.2,68,75,6.91
111,Te Anau,NZ,2021-04-11 20:47:48,-45.4167,167.7167,50.79,92,75,0.78
112,Praia Da Vitoria,PT,2021-04-11 20:47:49,38.7333,-27.0667,64.4,88,40,9.42
113,Banja Luka,BA,2021-04-11 20:45:16,44.7758,17.1856,50.0,76,0,8.05
114,Allingabro,DK,2021-04-11 20:47:49,56.465,10.3341,37.0,100,90,12.66
115,Chulman,RU,2021-04-11 20:47:50,56.8479,124.9104,-10.14,99,100,2.48
116,Kapaa,US,2021-04-11 20:47:44,22.0752,-159.319,73.99,83,75,11.5
117,Thompson,CA,2021-04-11 20:47:50,55.7435,-97.8558,23.0,68,90,11.5
118,Henties Bay,NA,2021-04-11 20:47:51,-22.116,14.2845,78.01,56,1,1.01
119,Sao Geraldo Do Araguaia,BR,2021-04-11 20:44:07,-6.4006,-48.555,76.8,89,94,2.15
120,Mardin,TR,2021-04-11 20:44:36,37.3131,40.7436,39.43,71,1,3.56
121,Najran,SA,2021-04-11 20:47:30,17.4924,44.1277,82.4,17,0,4.61
122,Ola,RU,2021-04-11 20:44:56,59.5833,151.2833,9.12,72,100,17.45
123,Srednekolymsk,RU,2021-04-11 20:47:51,67.45,153.6833,-16.69,99,100,2.13
124,Balikpapan,ID,2021-04-11 20:47:52,-1.2675,116.8289,74.59,92,95,2.82
125,Mitsamiouli,KM,2021-04-11 20:43:37,-11.3847,43.2844,81.59,74,98,8.41
126,Pyay,MM,2021-04-11 20:47:52,18.8167,95.2167,81.91,61,57,3.04
127,Tiksi,RU,2021-04-11 20:47:53,71.6872,128.8694,4.28,71,100,7.92
128,Avarua,CK,2021-04-11 20:47:53,-21.2078,-159.775,80.6,83,18,6.91
129,Birao,CF,2021-04-11 20:47:54,10.2849,22.7882,82.49,12,100,6.04
130,Selu,IN,2021-04-11 20:47:54,19.4667,76.4667,83.88,37,91,4.05
131,Narrabri,AU,2021-04-11 20:47:54,-30.3167,149.7833,41.0,70,0,6.91
132,Hakkari,TR,2021-04-11 20:44:33,37.5833,44.1667,37.76,81,1,5.59
133,Severo-Kurilsk,RU,2021-04-11 20:47:55,50.6789,156.125,33.89,67,100,6.73
134,Arraial Do Cabo,BR,2021-04-11 20:47:55,-22.9661,-42.0278,82.4,69,0,11.5
135,Port Hedland,AU,2021-04-11 20:47:55,-20.3167,118.5667,77.0,94,94,4.61
136,Gamba,GA,2021-04-11 20:47:56,-2.65,10.0,79.66,84,86,3.89
137,Iralaya,HN,2021-04-11 20:47:56,15.0,-83.2333,87.8,74,40,11.5
138,Neryungri,RU,2021-04-11 20:47:56,56.6709,124.6491,-12.23,98,90,3.47
139,Honiara,SB,2021-04-11 20:47:57,-9.4333,159.95,77.83,86,100,3.04
140,Harwich,GB,2021-04-11 20:47:57,51.9419,1.2844,36.0,71,100,1.99
141,Tabuk,PH,2021-04-11 20:47:57,17.4189,121.4443,68.65,88,64,2.66
142,Arlit,NE,2021-04-11 20:47:58,18.7369,7.3853,87.21,7,0,11.92
143,Mangai,CD,2021-04-11 20:47:58,-4.05,19.5333,67.37,99,98,2.53
144,Port Blair,IN,2021-04-11 20:47:59,11.6667,92.75,81.75,76,100,5.01
145,Hobyo,SO,2021-04-11 20:47:59,5.3505,48.5268,82.38,61,47,11.07
146,Muravlenko,RU,2021-04-11 20:47:59,63.7898,74.523,33.67,94,100,19.1
147,Petropavlovsk-Kamchatskiy,RU,2021-04-11 20:48:00,53.0452,158.6483,26.6,80,70,6.71
148,Buluang,PH,2021-04-11 20:48:00,13.3068,123.3425,72.66,89,94,4.54
149,Coahuayana,MX,2021-04-11 20:48:00,18.7333,-103.6833,84.2,48,20,9.22
150,Beitbridge,ZW,2021-04-11 20:48:01,-22.2167,30.0,72.18,51,0,8.08
151,Nome,US,2021-04-11 20:48:01,64.5011,-165.4064,24.8,80,90,27.63
152,Caravelas,BR,2021-04-11 20:46:01,-17.7125,-39.2481,76.1,79,17,5.59
153,Kapit,MY,2021-04-11 20:48:02,2.0167,112.9333,72.07,99,100,0.2
154,Pimentel,PE,2021-04-11 20:48:02,-6.8367,-79.9342,77.0,61,0,19.57
155,Shumskiy,RU,2021-04-11 20:48:03,54.8318,99.1328,25.86,90,100,3.69
156,Buraydah,SA,2021-04-11 20:48:03,26.326,43.975,71.6,33,0,14.97
157,Ulkan,RU,2021-04-11 20:48:03,57.243,107.3223,14.54,95,98,3.69
158,General Bravo,MX,2021-04-11 20:48:04,25.8,-99.1667,91.11,39,18,7.31
159,Leo,BF,2021-04-11 20:48:04,11.1,-2.1,91.11,21,71,6.53
160,Gimbi,ET,2021-04-11 20:48:05,9.1667,35.8333,69.03,38,93,4.18
161,Tubmanburg,LR,2021-04-11 20:48:05,6.8708,-10.8172,78.64,86,54,2.95
162,Monrovia,LR,2021-04-11 20:47:24,6.3005,-10.7969,78.8,94,20,7.38
163,Araouane,ML,2021-04-11 20:48:05,18.9048,-3.5265,91.04,8,0,8.46
164,Wairoa,NZ,2021-04-11 20:48:06,-39.0333,177.3667,62.01,93,79,1.99
165,Senneterre,CA,2021-04-11 20:48:06,48.3835,-77.2328,75.2,31,75,10.36
166,Abapo,BO,2021-04-11 20:48:07,-18.8333,-63.4667,61.2,97,100,2.62
167,Iqaluit,CA,2021-04-11 20:46:54,63.7506,-68.5145,28.4,93,90,20.71
168,Kingman,US,2021-04-11 20:48:07,35.1894,-114.053,82.4,5,1,17.27
169,Raton,US,2021-04-11 20:48:08,36.9034,-104.4391,73.0,5,1,17.27
170,Bozhou,CN,2021-04-11 20:48:08,33.8772,115.7703,53.35,94,100,3.8
171,College,US,2021-04-11 20:48:08,64.8569,-147.8028,25.0,35,75,9.22
172,Upernavik,GL,2021-04-11 20:45:53,72.7868,-56.1549,30.99,76,100,17.98
173,Seoul,KR,2021-04-11 20:45:59,37.5683,126.9778,55.4,82,0,1.14
174,Cuamba,MZ,2021-04-11 20:48:09,-14.8031,36.5372,66.76,97,100,2.24
175,Mahebourg,MU,2021-04-11 20:45:42,-20.4081,57.7,78.8,89,40,6.91
176,Walvis Bay,NA,2021-04-11 20:48:10,-22.9575,14.5053,78.01,56,6,1.01
177,Cape Coast,GH,2021-04-11 20:48:10,5.1053,-1.2466,81.99,84,99,10.67
178,Bilma,NE,2021-04-11 20:48:11,18.6853,12.9164,85.42,8,15,10.11
179,Saldanha,ZA,2021-04-11 20:45:42,-33.0117,17.9442,64.4,77,100,4.61
180,Provideniya,RU,2021-04-11 20:45:34,64.3833,-173.3,10.81,86,100,29.86
181,Airai,TL,2021-04-11 20:48:11,-8.9266,125.4092,58.21,87,27,2.06
182,Olafsvik,IS,2021-04-11 20:48:12,64.8945,-23.7142,36.1,77,98,19.42
183,Cartagena,CO,2021-04-11 20:45:27,10.3997,-75.5144,87.8,70,40,9.22
184,Harper,LR,2021-04-11 20:48:12,4.375,-7.7169,81.18,81,45,9.22
185,Kaitangata,NZ,2021-04-11 20:48:13,-46.2817,169.8464,53.11,95,38,3.89
186,Morro Bay,US,2021-04-11 20:48:13,35.3658,-120.8499,73.99,53,96,5.99
187,Lesozavodsk,RU,2021-04-11 20:48:13,45.4794,133.4244,48.2,67,100,12.57
188,Tomatlan,MX,2021-04-11 20:48:14,19.9333,-105.25,85.64,43,74,11.1
